producer,name,type,varietal,natural,vegan,sustainable,sweet,body,characteristics,description,price,url,imageUrl
Hahn Family Wines,Founders Series Pinot Gris,white,Pinot Gris,Y,,,dry,medium,"apple pear
citrus fruit
tropical fruit
floral","More in keeping with a French Gris than an Italian Grigio, this wine pushes right into its fruit flavours. There is also a minerality here which we just love. The producer, Hahn Family Wines, recommends having this with an Apricot Crostata or olive oil poached cod. Starter and main sorted?",£18,https://www.pacificwines.co.uk/wine/founders-series-pinot-gris,https://www.pacificwines.co.uk/assets/images/products/139-2x.jpg
Cycles Gladiator,Pinot Noir,red,Pinot Noir,Y,Y,,dry,medium,"red fruit vanilla
toast 
cinnamon","Cherries and berries. Easy to drink the bottle away! There is a little something extra; spice, vanilla, just a touch of cedar from a year in oak barrels. It sits very happily next to hoisin duck pancakes.",£15,https://www.pacificwines.co.uk/wine/pinot-noir,https://www.pacificwines.co.uk/assets/images/products/24-2x.jpg
Ore Winery,2017 Dundee Hills AVA Pinot Noir,red,Pinot Noir,Y,Y,,dry,medium,"red fruit
herbal mushroom
earthy","Established in 2004, the Dundee Hills AVA is still relatively new. The soils here are pebbled red basalt, the rocks the stemming from volcanic landslides. The grapes for this vintage were planted at 900m, resulting in an elegant, stony Pinot  with aromas of herbs and tomato leaf. The pallet opens with plum, earthy mushroom richness, a silky, luscious tannin and  subtle yet complex minerality.",£50,https://www.pacificwines.co.uk/wine/2017-dundee-hills-pinot-noir,https://www.pacificwines.co.uk/assets/images/products/19-2x.jpg
,,,,,,,,,,,,,
Bogle,Old Vine Zinfandel,red,Zinfandel,,Y,,dry,full bodied,"black fruit
spice
pepper vanilla
chocolate earthy","Bold and tannic, this red blend from Phantom is almost 50:50 Petite Sirah and Zinfandel. The result is a ripe, spiced wine, bringing out the best of each grape. The american oak aging adds in nutmeg and softens the Zinfandel's deep tannins. This will develop in the bottle for many more years, but can be enjoyed now with a full meal, think steak with a blackberry sauce.",£18,https://www.pacificwines.co.uk/wine/old-vine-zinfandel_4,https://www.pacificwines.co.uk/assets/images/products/71-2x.jpg
Orin Swift,8 Years in the Desert,red,"Petite Sirah, Syrah, Zinfandel",N,,,dry,full bodied,"floral 
red fruit
pepper forest floor","The experience with this wine begins during the pour - the aromatics hit you immediately, wild raspberry and blueberry preserves jump out of the bright violet wine. There is a hit of sweetness on the nose, but not on the palate, which is dry and shows off well-rounded tannins. Rich and opulent, this wine finishes in style, with its acidity and raspberry lingering on.",£48,https://www.pacificwines.co.uk/wine/8-years-in-the-desert,https://www.pacificwines.co.uk/assets/images/products/21-2x.jpg
Orin Swift,Abstract (Grenache),red,Grenache,N,,,dry,full bodied,,"This red blend leads with Grenache, but has help from both Syrah and Petite Syrah (although how much is a secret kept close the winemaker David's heart). The creation of this wine comes in many parts (beautifully represented by the collage on the bottle), beginning with over 100 lots of wine and slowly, meticulously, bringing together a selection to form this bold expression. Very fruit forward and with subtle drying tannins, this wine would level up any full, rich meal.",£39,https://www.pacificwines.co.uk/wine/abstract-grenache,https://www.pacificwines.co.uk/assets/images/products/106-2x.jpg
MacMurray,Russian River Pinot Gris,white,Pinot Gris,N,,,,,,,£18,https://www.pacificwines.co.uk/wine/russian-river-pinot-gris,https://www.pacificwines.co.uk/assets/images/products/201-2x.jpg
Rancho Zabaco,Heritage Zinfandel,red,Zinfandel,N,,,dry,full bodied,,"This wine is a perfect staple, and is great for those getting into Zinfandel. Classically big and juicy, you know what you're going to get and you're happy about it! This Zin offers a lot of wine for it's price, and is best enjoyed over the dinner table with a group of friends.",£17,https://www.pacificwines.co.uk/wine/heritage-zinfandel,https://www.pacificwines.co.uk/assets/images/products/81-2x.jpg
Orin Swift,Machete,red,"Grenache, Petite Sirah, Syrah",N,,,dry,full bodied,,"You cannot ignore the label on this wine. From over 10,000 shots, 12 were chosen. Which one you'll get on the bottle is always a lovely surprise. The woman in the picture is always in a position of power however, representing the power held within the bottle. You'll be immediately greeted with plum, violet, black pepper and clove. Deep blueberry, rich coffeed chocolate and jammy blackberry add to the layers and sit with you during the prolonged tannic finish.",£55,https://www.pacificwines.co.uk/wine/machete,https://www.pacificwines.co.uk/assets/images/products/23-2x.jpg
Orin Swift,Mannequin (Chardonnay),white,Chardonnay,N,,,off dry,full bodied,,"David Phinney, Orin Swift's founder, likes to change the production of wine around, and start with a label or name before the juice. Here, he has picked a layered scene of many different mannequins, and matched his chardonnay to that - immediately full of floral and citrus flavours, these are layered with pineapple and sea salt. Then, when you get into it, juicy peach and nectarine is balanced by a vibrantly zesty finish, with toffee and honey. The complexity is owed to the various vineyards which Swift uses to create this wine, each adding something of their own to the bottle. This full-throttle wine is different; energetic, complex and exotic.",£40,https://www.pacificwines.co.uk/wine/mannequin-chardonnay,https://www.pacificwines.co.uk/assets/images/products/20-2x.jpg
,,,,Y,,,,,,,,,
Raen Winery,Sonoma Coast (Royal St. Robert Cuvée) Pinot Noir,red,Pinot Noir,N,,,dry,medium,,"Produced by 3rd generation winemakers, Dante Mondavi and Carlo Mondavi, this wine started it's life in the cool, coastal vineyard sites of the West Sonoma Coast. Aromas of fresh strawberry, crushed dark cherry and black plum bring you in, the wild berries, coastal minerality and earthy forest floor keep you there, and the long finish, showcasing excellent balanced acidity and tannins, have you coming back for more. All around a wonderful wine, something to savour and remember for a long time.",£60,https://www.pacificwines.co.uk/wine/sonoma-coast-royal-st-robert-cuve-pinot-noir,https://www.pacificwines.co.uk/assets/images/products/50-2x.jpg
Varner Wines,Foxglove Cabernet Sauvignon,red,Cabernet Sauvignon,Y,,,dry,full bodied,,"The Foxglove label is known for their approachable and easy to keep drinking wines. This Cab Sauv is rich and full, with strawberries, black fruits and smokey notes.",£19,https://www.pacificwines.co.uk/wine/foxglove-cabernet-sauvignon,https://www.pacificwines.co.uk/assets/images/products/62-2x.jpg
Terre Rouge & Easton Wines,Terre Rouge Garrigue,red,"Cabernet Sauvignon, Syrah",Y,,,dry,full bodied,,The 'go to' weeknight wine for those days you just want to enjoy. The blend of Syrah and Cab Sauv makes it approachable but still complex. Super quaffable next to a burger!,£20,https://www.pacificwines.co.uk/wine/terre-rouge-garrigue,https://www.pacificwines.co.uk/assets/images/products/12-2x.jpg
Chanin Wine Company,Los Alamos Vineyard Chardonnay,white,Chardonnay,,,,off dry,medium full,,"The Los Alamos Vineyard where Chanin Wine Company acquires their grapes from dates back to the late 1960s, with the sandy soils, high elevation (900ft), and cool marine influence giving a great freshness, bright fruit and complicity. The wine produced is light gold, full of stone fruits, toasted bread, almond paste, and honeysuckle. Beautifully textured, it's a gorgeous Chardonnay.",£40,https://www.pacificwines.co.uk/wine/los-alamos-vineyard-chardonnay,https://www.pacificwines.co.uk/assets/images/products/107-2x.jpg
Leo Steen Wines,Jurassic Vineyard Chenin Blanc,white,Chenin Blanc,,,,dry,medium,,"This wine is a labour of time and patience. Aged for 16 months before bottling and another 12 in the bottle, there is great potential for further evolution if left in a cellar for a few more years. However, if opened now you'll enjoy clean, well aged complex flavours of almond, dried herbs, and white peach all of which carry through to a long, creamy finish.",£32,https://www.pacificwines.co.uk/wine/jurassic-vineyard-chenin-blanc,https://www.pacificwines.co.uk/assets/images/products/51-2x.jpg
,,,,,,,,,,,,,
Failla Wines,Keefer Ranch Chardonnay,white,Chardonnay,,,,off dry,full bodied,"apple citrus fruit tropical fruit minerality oak
vanilla
nutty
almond
butter","The warm Russian River climate produces excellent ripe, tropical grapes, perfect a chardonnay with a fuller body. This one from Failla Wines showcases soft, elegant minterality and floral notes alongside a nutty almond and rich butter. Ends long and lingering, with a juicy core of fruit.",£40,https://www.pacificwines.co.uk/wine/keefer-ranch-chardonnay,https://www.pacificwines.co.uk/assets/images/products/17-2x.jpg
Mail Road Wines,Mt Carmel Estate Chardonnay,white,Chardonnay,,,,off dry,full bodied,,"Mt. Carmel is an iconic vineyard, located in the Sta. Rita Hills AVA. This is a dense, powerful and creamy chardonnay. Chalky minerality and saline notes underpin the apple, citrus and pear flavors beautifully. Careful oak aging adds to the mouthwatering finish, which is zesty and lightly spiced.",£90,https://www.pacificwines.co.uk/wine/mt-carmel-estate-chardonnay,https://www.pacificwines.co.uk/assets/images/products/58-2x.jpg
Resonance,Willamette Pinot Noir,red,Pinot Noir,,,,dry,light,,"An excellent balance of expressive aromatic complexity and energetic acidity. Berried and velvety, with hints of tobacco, tar and dried flowers, this ripe and balanced Pinot shows precision and length, and is best enjoyed with an earthy meal - think beetroot on an autumnal evening.",£29,https://www.pacificwines.co.uk/wine/willamette-pinot-noir,https://www.pacificwines.co.uk/assets/images/products/182-2x.jpg
Domaine Carneros,Domaine Carneros Brut,sparkling,"Chardonnay, Pinot Noir",,,Y,dry,medium full,"stone fruit
citrus fruit almond
toast
honey
cream","Founded by the family behind Champagne Taittinger, Domaine Carneros was established in 1987 by Claude Taittinger. The heart of Domaine Carneros has always been méthode traditionelle sparkling wines, beautifully represented here in their Estate Brut cuvee. There is a richness and complexity telling of a traditional sparkling wine, with a full feel to each sip, and a long finish. Classic flavours of apple, pear and honeycomb are met by quince and lychee, with a savory undernote. This wine has been aged perfectly already, yet will enjoy additional evolution over the next decade.",£28,https://www.pacificwines.co.uk/wine/domaine-carneros-brut,https://www.pacificwines.co.uk/assets/images/products/48-2x.jpg
Domaine Carneros,Domaine Carneros Brut Rose (BE) NV,sparkling,"Chardonnay, Pinot Noir",,,,dry,medium full,"floral
cirtus fruit
red fruit
stone fruit almond
toast","True to it Taittinger routes, this is a classic method traditional Rosé, a lovely and serious wine with wild strawberry and raspberry underpinning top notes of apricot, tangerine and rose petals. A good weight rosé, it will be brilliant as an aperitif or to grace an entire meal.",£35,https://www.pacificwines.co.uk/wine/domaine-carneros-brut-rose,https://www.pacificwines.co.uk/assets/images/products/180-2x.jpg
Alexander Valley Vineyards,Estate Pinot Noir,red,Pinot Noir,,,,dry,light,"red fruit
black fruit
stone fruit spice
vanilla
oak earthy","From fruit grown in the cooler part of Alexander Valley, this is Pinot made with impressive dedication to detail. 3 different clones (777, Dijon and Pommard for those interested) bring differing characteristics and qualities to the wine, leading to a complex, contrasting wine with stylish aromatics. It's a dark and atmospheric wine, the fruit brooding and black, yet the top notes that one would hope for - oriental florals, leaves and spices, are there too. Polished.",£32,https://www.pacificwines.co.uk/wine/estate-pinot-noir,https://www.pacificwines.co.uk/assets/images/products/196-2x.jpg
Whitehall Lane,Rassi Cabernet Sauvignon,red,Cabernet Sauvignon,,,,dry,medium full,,"From Rassi Vineyard, on the Sonoma side of the Mayacamas mountain range, this is certainly a hillside Cab on tasting - cool, mineral and highly defined with layers of red fruit to the fore, supported by complexities of cherry cola, rhubarb and toasted brioche with burnt edges. The wine develops a cocoa powder bitterness which emerges alongside chalky, fine tannins - again pointing at the hillside. The finish is long and focussed. One for terroir fans.",£35,https://www.pacificwines.co.uk/wine/rassi-cabernet-sauvignon,https://www.pacificwines.co.uk/assets/images/products/173-2x.jpg
Pilcrow,Ghost Block Cabernet Sauvignon,red,Cabernet Sauvignon,,,,dry,medium,,"A bit of a throwback, a Napa Cabernet which eschews many modern winemaking trends in favour of creating as pure an expression of site (terroir) as possible. As such this wine is quite Bordeaux-esque in build - the natural power and intesity from the Napa floor fruit is very much under the control of bright acid and firm, slightly powdery tannic structure. It's still plush and magisterial, but dry and savoury - traditional, confident and ageworthy.",£98,https://www.pacificwines.co.uk/wine/ghost-block-cabernet-sauvignon,https://www.pacificwines.co.uk/assets/images/products/174-2x.jpg
Moone-Tsai,Howell Mountain Red (Bordeaux blend),red,"Cabernet Sauvignon, Merlot",,,,dry,full bodied,,"This Howell Mountain blend of Cabernet and Merlot is dramatic and thrilling, a muscular wine with remarkable power, energy and tension. Full of opulent, rich dark fruit, incredible mouth-coating tannin and indulgent layers of dark chocolate and freshly roast coffee beans. It's some expereince drinking this wine, and while it'll happily cellar for decades, give it a go now, with a big dry-aged steak and marvel at its colossal presence and prodigious length!",£130,https://www.pacificwines.co.uk/wine/howell-mountain-red,https://www.pacificwines.co.uk/assets/images/products/86-2x.jpg
Oak Farm,Zinfandel,red,Zinfandel,,,,dry,full bodied,,"This is everything you could ask for in a Californian Zinfandel - rich, sweet black and blue fruit, but not jammy, tempered by a layer of savoury leafiness, which joins in halfway and carries the baton through to a long and present finish. But there's more to this wine too - it's spicy and mineral - there's a saline complexity that hints at the quality of the vineyard site. It's easy to drink this and enjoy it enormously at a superficial level - without thinking too much, but dive into the minutae and you'll be rewarded with a wine of real quality.",£25,https://www.pacificwines.co.uk/wine/zinfandel,https://www.pacificwines.co.uk/assets/images/products/202-2x.jpg
Ferrari Carano,Merlot,red,Merlot,,,,dry,medium full,"black fruit
jammy fruit
pepper oak
vanilla
clove
cedar leather","This is a crowd pleaser if ever there was one - put this on the dinner table and watch your guests rave about it - rich, sweet, slightly jammy and sappy fruit, joined by juicy acidity, vanilla from oak and a lofty, airy perfume character. It's simply a great wine to drink now - a generous, mouth-filling, hug-in-a-bottle wine with enough wine making acumen to make sure it remains proper too.",£28,https://www.pacificwines.co.uk/wine/merlot,https://www.pacificwines.co.uk/assets/images/products/73-2x.jpg
Oak Farm,Barbera,red,Barbera,,,,dry,medium,,"One of the things the Californians are not as well known for, but are really good at is making wine from classic Italian grape varieties and bringing something new to them, while retaining the characteristics for which they're famous. This Barbera is a great example - it's light in colour, fragrant and delicate, but it has an underlying richness, a warmth that you wouldn't necessarily expect from an Italian one. If it were Italian you'd be running out to buy more.",£28,https://www.pacificwines.co.uk/wine/barbera,https://www.pacificwines.co.uk/assets/images/products/72-2x.jpg
Ferrari Carano,Siena (Italian blend),red,"Cabernet Sauvignon, Malbec, Petite Sirah, Sangiovese",,,,dry,medium full,"red fruit oak
vanilla
toast
chocolate","This blend from Ferrari Carano is the perfect pizza wine, and that is certainly meant as a compliment - it has the bright acid to cut through cheesy richness, a touch of sweetness to balance any spice, and bags of juicy and dried fruit; and oak led flavour which won't be overpowered. The wine develops through fruit to this toasty, digestive biscuit tinged caramel note on the finish - like condensed milk. Great value and delicious everyday.",£28,https://www.pacificwines.co.uk/wine/siena-italian-blend,https://www.pacificwines.co.uk/assets/images/products/75-2x.jpg
Benovia,Russian River Valley Chardonnay,white,Chardonnay,,,,dry,medium,"citrus fruit
tropical fruit
minerality vanilla
oak
cream
toast","Russian River Chardonnay is always exciting, and this wine from Benovia certainly doesn't disappoint. Remarkably 'correct', with vibrant acidity, power, complexity, weight and mouth-feel all appearing together in pinpoint perfect balance - it's neither lean nor fat, neither over nor under extracted, and the fruit feels like it was picked at the most optimal minute in the harvest - it's just beautiful, characterful and utterly textbook.",£54,https://www.pacificwines.co.uk/wine/russian-river-valley-chardonnay,https://www.pacificwines.co.uk/assets/images/products/143-2x.jpg
Moone-Tsai,Sonoma Coast Chardonnay,white,Chardonnay,,,,dry,full bodied,,"Moone-Tsai are a brilliant boutique winemaker and this wine has much of the same quality as you'd find in some of California's most famous Chardonnay producers - names like Kistler, Aubert, Marcassin. It's texturally mighty, highly silky and viscous, and getting to the heart of it - it just tastes brilliant - full of buttered popcorn, praline, butterscotch, apple tarte tatin, vanilla ice cream. Big, bold, dynamic and with Californian flair.",£88,https://www.pacificwines.co.uk/wine/sonoma-coast-chardonnay,https://www.pacificwines.co.uk/assets/images/products/179-2x.jpg
Moone-Tsai,Paige Cuvee Chardonnay,white,Chardonnay,,,,off dry,full bodied,,"This exceptional wine comes from a single vineyard with low-yielding, old, gnarly vines that produce grapes known for their intensity, complexity, freshness and vibrancy. This wine delivers everything you want from a Russian River Chard; tantalisingly expressive, it has layers upon layers of fruits and gorgeous minerality. Its long finish leaves you always wanting more!",£110,,
Schramsberg & J Davies,Blanc de Blancs,sparkling,Chardonnay,,,,dry,medium,,"Blanc de Blancs sparkling was the first wine Schramsberg produced in 1965, gaining international recognition in 1972 when then President Nixon served the wine at the historic ""Toast to Peace"" in Beijing, China. Similar in style to Champagne, Schramsberg sparkling Blanc de Blancs is dry and crisp. With its vibrant, fruitful and focused nature, this sparkling wine will maintain its freshness, structure and refined finish for many years, even decades following its initial release. It is the perfect addition to any celebration, and makes an excellent apéritif.",£43,https://www.pacificwines.co.uk/wine/blanc-de-blancs,https://www.pacificwines.co.uk/assets/images/products/47-2x.jpg
Schramsberg & J Davies,J Schram,sparkling,"Chardonnay, Pinot Noir",,,,dry,medium,,"J. Schram epitomizes Schramsberg's philosophy to create a wine in which no effort has been spared and no care has been omitted. Representing only 3% of the winerys annual production, the Chardonnay-focused J. Schram blend is assembled from the very best base wine lots of the approximately 300 produced each year. Earthy nectarine and smooth peach flavours are still evident in this luxurious wine. Enjoy it with sharp cheeses or a decedent amount of seafood.",£99,https://www.pacificwines.co.uk/wine/j-schram,https://www.pacificwines.co.uk/assets/images/products/37-2x.jpg
Schramsberg & J Davies,Blanc de Blancs LD,sparkling,Chardonnay,,,,dry,medium,,"Schramsberg Vineyards is one of the oldest wineries in the Napa Valley, located in the Calistoga AVA. This late disgorged Blanc de Blancs sparkling has rich flavors of apples, toast, and baking spices. A fuller body makes this well-aged sparkling Chardonnay engaging and delicious and leaves it on the tongue to enjoy for a while after each taste. Celebrate fully with this wine.",£115,https://www.pacificwines.co.uk/wine/blanc-de-blancs-ld,https://www.pacificwines.co.uk/assets/images/products/46-2x.jpg
Oak Farm,Il Padrone 50cl,dessert,Zinfandel,Y,,,sweet,full bodied,,"This is a powerful fortified Zinfandel dessert wine is full, rich and luscious. You start off with dried fruit, caramel, and nutty vanilla, and end with lingering flavors of cocoa bitterness and caramelized figs. A nicely balanced, layered wine, very inviting on the palate. Skip the after dinner coffee and finish your evening off with this.",£36,https://www.pacificwines.co.uk/wine/il-padrone-50cl,https://www.pacificwines.co.uk/assets/images/products/49-2x.jpg
Morlet,Late Harvest Billet Doux 37.5cl,dessert,Sémillon,,,,sweet,full bodied,,"Billet Doux is a luscious, rich and delicious wine. Sweet tangerines, mint, floral notes and light honey come at you initially. Keep going and you'll be rewarded with  a beautifully textured, refined sweet wine that is classy and elegant too.",£75,https://www.pacificwines.co.uk/wine/late-harvest-billet-doux-375cl,https://www.pacificwines.co.uk/assets/images/products/155-2x.jpg
Arietta,"Hudson H-block (Cab Franc, Merlot)",red,"Cabernet Franc, Merlot",,,,,,,,£130,,
Napa Cellars,Pinot Noir - Light,red,Pinot Noir,,,,dry,light,,"Counter-intuitively, the southern part of Napa Valley is a cooler climate than the rest. The San Pablo Bay creates a cool, maritime climate due to morning fogs rolling across the vines, ushering in the cool breezes ideal for growing delicate, flavorful Pinot Noir. The vines here produce complex, layered fruit that translates to an earthy minerality and natural acidity. This Napa Cellars Pinot Noir is an elegant wine, velvety and smooth that delivers beautiful aromas of dried cherries, tart plum, earthy notes, cola and mushroom. For a delicious meal, pair with garlic and herb roasted pork tenderloin, or a dark chocolate mousse for dessert.",£24,https://www.pacificwines.co.uk/wine/napa-cellars-pinot-noir-2018,https://www.pacificwines.co.uk/assets/images/products/10-2x.jpg
Joel Gott,Oregon Pinot Noir,red,Pinot Noir,N,,,dry,light,,"Willamette Valley's cool climate stresses the vines, creating smaller, more concentrated fruit clusters that yield more complex, flavorful wines. Half of the grapes grown for this wine are planted on Willakenzie soils, an ancient soil type found only in this area that drains well, allowing the grapes to stay on the vines for longer and have better flavor development. This wine comes through with aromas of red berries and cola, soft, velvety tannins and ends with a long, elegant finish.",,,
Trinchero,BRV Cabernet Sauvignon,red,Cabernet Sauvignon,Y,,,dry,full bodied,,"Harvested from two of the highest Trinchero family estate vineyards, in the Napa Valley mountain appellations of Atlas Peak and Mt. Veeder, the height and eastern exposure gives the grapes more time on the vine to develop the region’s signature bold, luscious flavors. This wine is highly concentrated and rich, with powerful blueberry, currant, crushed rock and licorice aromas. There is a long, spicy finish. It has great aging potential.",£58,https://www.pacificwines.co.uk/wine/brv-cabernet-sauvignon,https://www.pacificwines.co.uk/assets/images/products/70-2x.jpg
Joel Gott,Oregon Pinot Gris,white,Pinot Gris,N,,,off dry,medium,,"Joel Gott has produced an excellent Pinot Gris, something for its fans. The cooler climate in Willamette Valley has allowed the wine to hold onto its acidity, citrus and floral characteristics, while also developing some peach and honeydew melon. You are rewarded at the end of each sip with a long, clean and balanced finish.",£21,https://www.pacificwines.co.uk/wine/oregon-pinot-gris,https://www.pacificwines.co.uk/assets/images/products/149-2x.jpg
Napa Cellars,Zinfandel,red,Zinfandel,N,,,dry,full bodied,,"Harvested from warmer sites across Napa, this Zinfandel boasts complex and concentrated fruit. A touch of new french and american oak (28% to be exact) delivers some spice, gingerbread, clove and mocha. This wine is weighty and juicy with balanced acidity accenting soft and supple tannins.Napa Cellars Winemaker Joe Shirley recommends pairing this wine with chicken cacciatore or a well-seasoned steak topped with fresh basil.",£22,https://www.pacificwines.co.uk/wine/napa-cellars-zinfandel,https://www.pacificwines.co.uk/assets/images/products/74-2x.jpg
Napa Cellars,Chardonnay,white,Chardonnay,N,,,off dry,full bodied,,"A classic Napa Valley Chardonnay, ticking all our boxes. Pear, lemon and melon start you off, opening up to coconut, nutty toasted caramel and toffee. A nice, round creamy texture leads into a long finish with refreshing, persistent acidity. This is the perfect wine to pair with a Camembert French cheese plate with honey and almonds, or with panna cotta topped with fresh berries for dessert. So, something to show off at the next dinner party!",£18,https://www.pacificwines.co.uk/wine/chardonnay,https://www.pacificwines.co.uk/assets/images/products/141-2x.jpg
Bow & Arrow,"Air Guitar (Cab sauv, cab franc)",red,"Cabernet Franc, Cabernet Sauvignon",Y,,,dry,medium,"floral 
fruity
herbal
black fruit","Air Guitar is a real treat for any wine lover, an oddity you may say - a Cab Sauv + Cab Franc blend made in the style of the great Loire Valley reds...in the Willamette Valley, Oregon. But odd it is not. The top expression from this boutique winery, Air Guitar is a restrained, elegant, sophisticated expression, a wine that floats and flutters, that has incredible aromatic liveliness and perfume. It is indeed crunchy and taut, like Loire Cab Franc, but there is substantial juiciness, unbridled energy and acid which balances it all out. ",£30,https://www.pacificwines.co.uk/wine/air-guitar-cab-sauv-cab-franc,https://www.pacificwines.co.uk/assets/images/products/162-2x.jpg
